city,lat,lng
calicut,11.25,75.7667
akola,20.7333,77
bhāgalpur,25.25,87.0167
sīkar,27.6119,75.1397
tumkūr,13.33,77.1
quilon,8.8853,76.5864
muzaffarnagar,29.4708,77.7033
bhīlwāra,25.35,74.6333
nizāmābād,18.6704,78.1
bhātpāra,22.8667,88.4167
kākināda,16.9333,82.2167
parbhani,19.2704,76.76
pānihāti,22.69,88.37
lātūr,18.4004,76.57
rohtak,28.9,76.5667
rājapālaiyam,9.4204,77.58
ahmadnagar,19.0833,74.7333
cuddapah,14.4667,78.8167
rājahmundry,16.9833,81.7833
alwar,27.5667,76.6167
muzaffarpur,26.12,85.3833
bilāspur,22.15,82.0167
mathura,27.4833,77.6833
kāmārhāti,22.67,88.37
patiāla,30.3204,76.385
saugor,23.8504,78.75
bijāpur,16.8244,75.7154
brahmapur,19.32,84.8
shāhjānpur,27.8804,79.905
trichūr,10.52,76.21
barddhamān,23.25,87.85
kulti,23.73,86.85
sambalpur,21.4704,83.9701
purnea,25.78,87.47
hisar,29.1489,75.7367
fīrozābād,27.15,78.3949
bīdar,17.9229,77.5175
rāmpur,28.8154,79.025
shiliguri,26.72,88.42
bāli,22.65,88.34
pānīpat,29.4004,76.97
karīmnagar,18.4333,79.15
bhuj,23.2504,69.81
ichalkaranji,16.7,74.47
tirupati,13.65,79.42
hospet,15.2667,76.4
āīzawl,23.7104,92.72
sannai,24.16,80.83
bārāsat,22.2333,88.45
ratlām,23.3167,75.0667
handwāra,34.4,74.28
drug,21.19,81.28
imphāl,24.82,93.95
anantapur,14.6833,77.6
etāwah,26.7855,79.015
rāichūr,16.2104,77.355
ongole,15.5,80.05
bharatpur,27.2172,77.49
begusarai,25.42,86.13
sonīpat,28.9958,77.0114
rāmgundam,18.8,79.45
hāpur,28.7437,77.7628
uluberiya,22.47,88.11
porbandar,21.6425,69.6047
pāli,25.7725,73.3233
vizianagaram,18.1167,83.4167
puducherry,11.93,79.83
karnāl,29.6804,76.97
nāgercoil,8.17,77.43
tanjore,10.8,79.15
sambhal,28.58,78.55
naihāti,22.9,88.42
secunderābād,17.45,78.5
kharagpur,22.3302,87.3237
dindigul,10.35,77.95
shimla,31.1033,77.1722
ingrāj bāzār,25,88.15
ellore,16.7,81.1
puri,19.8,85.8167
haldia,22.0257,88.0583
nandyāl,15.48,78.48
bulandshahr,28.4104,77.8484
chakradharpur,22.7,85.63
bhiwāni,28.7833,76.1333
gurgaon,28.45,77.02
burhānpur,21.3004,76.13
khammam,17.25,80.15
madhyamgram,22.7,88.45
ghāndīnagar,23.22,72.68
baharampur,24.1,88.25
mahbūbnagar,16.7333,77.9833
mahesāna,23.6,72.4
ādoni,15.63,77.28
rāiganj,25.6167,88.1167
bhusāval,21.02,75.83
bahraigh,27.6204,81.6699
shrīrāmpur,22.75,88.34
tonk,26.1505,75.79
sirsa,29.4904,75.03
jaunpur,25.7333,82.6833
madanapalle,13.55,78.5
hugli,22.9,88.39
vellore,12.9204,79.15
alleppey,9.5004,76.37
cuddalore,11.75,79.75
deo,24.6561,84.4356
chīrāla,15.82,80.35
machilīpatnam,16.1667,81.1333
medinīpur,22.4333,87.3333
bāramūla,34.2,74.34
chandannagar,22.8667,88.3833
fatehpur,25.8804,80.8
udipi,13.3322,74.7461
tenāli,16.243,80.64
sitalpur,27.63,80.75
conjeeveram,12.8308,79.7078
proddatūr,14.73,78.55
navsāri,20.8504,72.92
godhra,22.7755,73.6149
budaun,28.03,79.09
chittoor,13.2,79.1167
harīpur,31.52,75.98
saharsa,25.88,86.6
vidisha,23.5239,77.8061
pathānkot,32.2689,75.6497
nalgonda,17.05,79.27
dibrugarh,27.4833,95
bālurghāt,25.2167,88.7667
krishnanagar,23.4,88.5
fyzābād,26.7504,82.17
silchar,24.7904,92.79
shāntipur,23.25,88.43
hindupur,13.83,77.49
erode,11.3408,77.7172
jāmuria,23.7,87.08
hābra,22.83,88.63
ambāla,30.3786,76.7725
mauli,30.7194,76.7181
kolār,13.1333,78.1333
shillong,25.5744,91.8789
bhīmavaram,16.5333,81.5333
mandsaur,24.03,75.08
kumbakonam,10.9805,79.4
tiruvannāmalai,12.2604,79.1
chicacole,18.3,83.9
bānkura,23.25,87.0667
mandya,12.5242,76.8958
hassan,13.005,76.1028
yavatmāl,20.4,78.1333
pīlibhīt,28.64,79.81
pālghāt,10.7792,76.6547
abohar,30.1204,74.29
pālakollu,16.5333,81.7333
kānchrāpāra,22.97,88.43
port blair,11.6667,92.75
alīpur duār,26.4837,89.5667
hāthras,27.6,78.05
guntakal,15.17,77.38
navadwīp,23.4088,88.3657
basīrhat,22.6572,88.8942
hālīsahar,22.95,88.42
rishra,22.71,88.35
dharmavaram,14.4142,77.715
baidyabāti,22.79,88.32
darjeeling,27.0417,88.2631
sopur,34.3,74.47
gudivāda,16.43,80.99
adilābād,19.6667,78.5333
titāgarh,22.74,88.37
chittaurgarh,24.8894,74.6239
narasaraopet,16.236,80.054
dam dam,22.62,88.42
vālpārai,10.3204,76.97
osmānābād,18.1667,76.05
champdani,22.8,88.37
bangaon,23.07,88.82
khardah,22.72,88.38
tādpatri,14.92,78.02
jalpāiguri,26.5167,88.7333
suriāpet,17.15,79.6167
tādepallegūdem,16.8333,81.5
bānsbāria,22.97,88.4
negapatam,10.7667,79.8333
bhadreswar,22.82,88.35
chilakalūrupet,16.0892,80.1672
kalyani,22.975,88.4344
gangtok,27.33,88.62
kohīma,25.6667,94.1194
khambhāt,22.3131,72.6194
aurangābād,24.7704,84.38
emmiganūr,15.7333,77.4833
rāyachoti,14.05,78.75
kāvali,14.9123,79.9944
mancherāl,18.8679,79.4639
kadiri,14.12,78.17
ootacamund,11.4086,76.6939
anakāpalle,17.68,83.02
sirsilla,18.38,78.83
kāmāreddipet,18.3167,78.35
pāloncha,17.5815,80.6765
kottagūdem,17.55,80.63
tanuku,16.75,81.7
bodhan,18.67,77.9
karūr,10.9504,78.0833
mangalagiri,16.43,80.55
kairāna,29.4,77.2
mārkāpur,15.735,79.27
malaut,30.19,74.499
bāpatla,15.8889,80.47
badvel,14.75,79.05
jorhāt,26.75,94.2167
koratla,18.82,78.72
pulivendla,14.4167,78.2333
jaisalmer,26.9167,70.9167
tādepalle,16.4667,80.6
armūr,18.79,78.29
jatani,20.17,85.7
gadwāl,16.23,77.8
nagari,13.33,79.58
wanparti,16.361,78.0627
ponnūru,16.0667,80.5667
vinukonda,16.05,79.75
itānagar,27.1,93.62
tezpur,26.6338,92.8
narasapur,16.4333,81.6833
kothāpet,19.3333,79.4833
mācherla,16.48,79.43
kandukūr,15.2165,79.9042
sāmalkot,17.0531,82.1695
bobbili,18.5667,83.4167
sattenapalle,16.3962,80.1497
vrindāvan,27.5806,77.7006
mandapeta,16.87,81.93
belampalli,19.0558,79.4931
bhīmunipatnam,17.8864,83.4471
nāndod,21.8704,73.5026
pithāpuram,17.1167,82.2667
punganūru,13.3667,78.5833
puttūr,13.45,79.55
jalor,25.35,72.6167
palmaner,13.2,78.75
dholka,22.72,72.47
jaggayyapeta,16.892,80.0976
tuni,17.35,82.55
amalāpuram,16.5833,82.0167
jagtiāl,18.8,78.93
vikārābād,17.33,77.9
venkatagiri,13.9667,79.5833
sihor,21.7,71.97
jangaon,17.72,79.18
mandamāri,18.9822,79.4811
metpalli,18.8297,78.5878
repalle,16.02,80.85
bhainsa,19.1,77.9667
jasdan,22.03,71.2
jammalamadugu,14.85,78.38
rāmeswaram,9.28,79.3
addanki,15.811,79.9738
nidadavole,16.92,81.67
bodupāl,17.4139,78.5783
rājgīr,25.03,85.42
rajaori,33.38,74.3
naini tal,29.3919,79.4542
channarāyapatna,12.9,76.39
maihar,24.27,80.75
panaji,15.48,73.83
junnar,19.2,73.88
amudālavalasa,18.4167,83.9
damān,20.417,72.85
kovvūr,17.0167,81.7333
solan,30.92,77.12
dwārka,22.2403,68.9686
pathanāmthitta,9.2647,76.7872
kodaikānal,10.23,77.48
udhampur,32.93,75.13
giddalūr,15.3784,78.9265
yellandu,17.6,80.33
shrīrangapattana,12.4181,76.6947
angamāli,10.196,76.386
umaria,23.5245,80.8365
fatehpur sīkri,27.0911,77.6611
mangūr,17.9373,80.8185
pedana,16.2667,81.1667
uran,18.89,72.95
chimākurti,15.5819,79.868
devarkonda,16.7,78.9333
bandipura,34.4225,74.6375
silvassa,20.2666,73.0166
pāmidi,14.95,77.5833
narasannapeta,18.4151,84.0447
jaynagar-majilpur,22.1772,88.4258
khed brahma,24.0299,73.0463
khajurāho,24.85,79.9333
koilkuntla,15.2333,78.3167
diu,20.7197,70.9904
kulgam,33.64,75.02
gauripur,26.08,89.97
abu,24.5925,72.7083
curchorem,15.25,74.1
kavaratti,10.5626,72.6369
panchkula,30.6915,76.8537
kagaznāgār,19.3316,79.4661
nagpur,21.1458,79.0882
